,name,rating,review_count,latitude,longitude,categories,location,city_bikes_ll
133,L'Auberge Aveyronnaise,4.0,113,48.834770899999995,2.38599,French,40 Rue Gabriel Lamé,"48.840855311763,2.3875549435616"
134,Chez Julia et Ryan,5.0,1,48.8411364,2.3873437,Bistros,40 rue Baulant,"48.840855311763,2.3875549435616"
135,Maguey,4.5,21,48.84748,2.37737,French,99 rue de Charenton,"48.840855311763,2.3875549435616"
136,Le Lys d'Or,4.0,59,48.845553,2.3836459999999997,Chinese,2 rue Chaligny,"48.840855311763,2.3875549435616"
137,Chez Prosper,3.5,278,48.848554304744,2.3983338856896,Bistros,7 avenue du Trône,"48.840855311763,2.3875549435616"
138,Le Baron Rouge,4.5,79,48.849492,2.377314,Wine Bars,1 rue Théophile Roussel,"48.840855311763,2.3875549435616"
139,Au Trou Gascon,4.0,35,48.839059999999996,2.3942,French,40 rue Taine,"48.840855311763,2.3875549435616"
141,La Petite Chaise,4.0,73,48.8538,2.32749,French,36 rue Grenelle,"48.851296433665276,2.325061820447445"
142,L'Epi Dupin,4.0,115,48.849779999999996,2.3254,Bistros,11 rue Dupin,"48.851296433665276,2.325061820447445"
145,L'Arpège,4.0,226,48.855753,2.316982,French,84 rue de Varenne,"48.851296433665276,2.325061820447445"
148,Le Pain Quotidien,4.0,61,48.85386,2.32417,"Breakfast & Brunch, Bakeries, Coffee & Tea",25 rue de Varenne,"48.851296433665276,2.325061820447445"
150,Musée d’Orsay,4.5,892,48.860407225241204,2.32502393267818,Museums,1 rue de la Légion d'Honneur,"48.851296433665276,2.325061820447445"
151,Café Cassette,4.0,66,48.851079999999996,2.33069,"Breakfast & Brunch, French, Wine Bars",73 rue de Rennes,"48.851296433665276,2.325061820447445"
156,Angelina,4.5,43,48.853175,2.3236599,"Desserts, Patisserie/Cake Shop",108 rue du Bac,"48.851296433665276,2.325061820447445"
157,Marcel,3.5,34,48.8517,2.32293,"Breakfast & Brunch, American (Traditional), British",15 rue de Babylone,"48.851296433665276,2.325061820447445"
158,Poilâne,4.0,107,48.8513,2.32908,Bakeries,8 rue du Cherche-Midi,"48.851296433665276,2.325061820447445"
159,Atelier Vivanda,4.0,14,48.850667914812895,2.32815251238606,"Barbeque, French",20 rue du Cherche-Midi,"48.851296433665276,2.325061820447445"
162,Shiso Burger,4.5,92,48.853390000000005,2.3453,"Burgers, Asian Fusion, American (Traditional)",21 quai Saint-Michel,"48.851518815017,2.3436703160405"
163,Au Père Louis,4.0,264,48.848966,2.3403490000000002,"Wine Bars, French",38 rue Monsieur le Prince,"48.851518815017,2.3436703160405"
164,Le Petit Châtelet,4.0,136,48.852616,2.34702,French,39 rue de la Bûcherie,"48.851518815017,2.3436703160405"
165,Loulou,4.0,155,48.851192,2.344806,"Burgers, Cafes, Australian",90 boulevard Saint-Germain,"48.851518815017,2.3436703160405"
166,Le Porte Pot,4.5,134,48.85134,2.34452,"Wine Bars, Bistros",14 rue Boutebrie,"48.851518815017,2.3436703160405"
171,Odette,4.5,88,48.852063,2.346507,"Tea Rooms, Patisserie/Cake Shop",77 rue Galande,"48.851518815017,2.3436703160405"
172,Shakespeare and Company,4.5,330,48.852658704771,2.3469621526521,"Bookstores, Cafes",37 rue de la Bûcherie,"48.851518815017,2.3436703160405"
173,Les Papilles,4.5,254,48.844609999999996,2.34174,"Wine Bars, Bistros",30 rue Gay-Lussac,"48.851518815017,2.3436703160405"
174,Sourire,4.5,32,48.851109,2.347656,"Tapas Bars, French",27 rue Galande,"48.851518815017,2.3436703160405"
175,Maison de la Lozère,4.5,34,48.852613,2.3430142000000003,French,4 rue Hautefeuille,"48.851518815017,2.3436703160405"
177,Aux Trois Mailletz,4.0,64,48.852596999999996,2.346612,"French, Cabaret, Piano Bars",56 rue Galande,"48.851518815017,2.3436703160405"
178,Comme Chai Toi,4.5,44,48.85188,2.34917,"Wine Bars, French",13 quai de Montebello,"48.851518815017,2.3436703160405"
179,Breizh Café,4.5,58,48.851586,2.33885,"Creperies, Cafes",1 rue de l'Odéon,"48.851518815017,2.3436703160405"
180,Le Hide,4.5,226,48.8763,2.2940099999999997,French,10 Rue Gén Lanrezac,"48.881973298352,2.301132157445"
181,Maison Rostang,4.5,56,48.8814136,2.2984913,French,20 rue Rennequin,"48.881973298352,2.301132157445"
182,Il Etait une Oie dans le Sud Ouest,4.5,38,48.88145,2.2991,"French, French Southwest",8 Rue Gustave Flaubert,"48.881973298352,2.301132157445"
183,Les Messugues,4.5,13,48.880122248126,2.3032613265072097,French,8 rue Léon Jost,"48.881973298352,2.301132157445"
184,Le Bistrot d'à Côté Flaubert,4.0,25,48.88143,2.29867,French,10 rue Gustave Flaubert,"48.881973298352,2.301132157445"
185,Zino,4.0,28,48.8842865,2.3001673,Italian,97 avenue de Villiers,"48.881973298352,2.301132157445"
186,Coretta,4.5,41,48.88966,2.31628,Bistros,151bis rue Cardinet,"48.881973298352,2.301132157445"
187,Taillevent,4.5,92,48.87428,2.3024299999999998,French,15 rue Lamenais,"48.881973298352,2.301132157445"
188,Caffé Caesar,4.5,60,48.8752983,2.2939830000000003,Italian,4 avenue Carnot,"48.881973298352,2.301132157445"
190,L'Aligot,5.0,13,48.882309899999996,2.29584,Auvergnat,73 avenue Niel,"48.881973298352,2.301132157445"
191,L'Arc de Triomphe,4.5,688,48.8738256014877,2.29502221103758,Landmarks & Historical Buildings,Place de l'Étoile,"48.881973298352,2.301132157445"
192,La Marée,4.0,49,48.877449,2.300583,Seafood,1 rue Daru,"48.881973298352,2.301132157445"
193,Fanfan,4.5,27,48.8801154,2.2943694,"French, Asian Fusion",18 rue Bayen,"48.881973298352,2.301132157445"
194,Bistrot d'Yves,4.5,8,48.8822,2.3044700000000002,French,33 rue Cardinet,"48.881973298352,2.301132157445"
195,La Famiglia di Rebellato,4.5,15,48.882401308135606,2.29636790615627,"Italian, Pizza",73 bis avenue Niel,"48.881973298352,2.301132157445"
196,Little Nonna,4.5,34,48.87957,2.294911,"Pizza, Gluten-Free",12 avenue Niel,"48.881973298352,2.301132157445"
197,Le Petit Villiers,3.5,51,48.8838078,2.3047215,French,75 avenue de Villiers,"48.881973298352,2.301132157445"
198,Apicius,4.5,82,48.873629,2.307616,French,20 rue d'Artois,"48.881973298352,2.301132157445"
199,Samesa,4.5,32,48.87643,2.29572,Italian,13 rue Brey,"48.881973298352,2.301132157445"
201,Oresto,3.5,51,48.881586,2.286145,"French, Bars, Modern European",55 boulevard Gouvion Saint-Cyr,"48.88287775178599,2.287667370814871"
