,name_x,rating,review_count,latitude_x,longitude_x,categories,location,city_bikes_ll,latitude_y,longitude_y,name_y,free_bikes,empty_slots,extra.uid,Total_slots,Station_usage_percentage
2471,20 Eiffel,4.5,18,48.85948,2.29853,French,20 rue de Monttessuy,"48.858102885107,2.3004072904587",48.858102885107,2.3004072904587,Rapp - Place du Général Gouraud,25,4,7024,29,13.793103448275861
2472,Le Champ de Mars,1.5,278,48.85797,2.2999,Brasseries,45 avenue de la Bourdonnais,"48.858102885107,2.3004072904587",48.858102885107,2.3004072904587,Rapp - Place du Général Gouraud,25,4,7024,29,13.793103448275861
2473,L'Opportun,4.0,10,48.8413135,2.32482,Lyonnais,62 boulevard Edgar Quinet,"48.84116092896631,2.32459545135498",48.84116092896631,2.32459545135498,Edgar Quinet - Gaité,1,26,14001,27,96.29629629629629
2474,L'Amitié Rit,3.5,3,48.8556523250621,2.43944697082043,"Wine Bars, French",120 ave de Président Wilson,"48.85593932186797,2.441531717777252",48.85593932186797,2.4415317177772518,Place Carnot,12,11,31012,23,47.82608695652174
2475,Duchet Christophe,5.0,1,48.85581,2.43972,Bakeries,95 Bis avenue Prés Wilson,"48.85593932186797,2.441531717777252",48.85593932186797,2.4415317177772518,Place Carnot,12,11,31012,23,47.82608695652174
2476,Le Garage à Crêpes,5.0,1,48.85581970000001,2.44221,Creperies,3 rue Malot,"48.85593932186797,2.441531717777252",48.85593932186797,2.4415317177772518,Place Carnot,12,11,31012,23,47.82608695652174
2477,Sushiyuki,4.5,2,48.82132,2.41978,"Japanese, Sushi Bars",5 avenue du Mal Lattre de Tassigny,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2478,Le Barbecue,4.0,2,48.8223785,2.4166384,Restaurants,12 Rue République,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2479,Au Libanais de St-Maurice,4.0,1,48.81873,2.4197,"Lebanese, Sandwiches",8 avenue du Maréchal de Lattre de Tassigny,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2480,La Bolée d'Arvor,4.0,8,48.81909,2.41685,Creperies,38 rue de Paris,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2481,Le Mékong,2.5,2,48.8213392,2.4192407000000005,Chinese,41 Rue Gabrielle,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2482,Huatian restaurant,4.0,1,48.81598,2.41167,Chinese,1 Place Du Confluent France Chine,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2483,GRILL ETOILE,5.0,1,48.81945200000001,2.407125,"Turkish, Kebab, Barbeque",43 quai des Carrieres,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2484,Le Dauphine,3.0,1,48.822266600000006,2.4199893,Restaurants,54 Mar de Lattre De Tassigny,"48.824407,2.418455",48.824407,2.418455,Gravelle - Route du Bac,18,31,12126,49,63.26530612244898
2485,La Massara,4.0,38,48.86628,2.35976,Italian,70 rue de Turbigo,"48.8685433,2.3600032",48.8685433,2.3600032000000004,René Boulanger - Lancry,3,57,10001,60,95.0
2486,Le Pré Catelan,4.5,102,48.864002,2.2507650000000003,French,Route de Suresnes,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2487,Le Bois de Boulogne,4.0,18,48.862438,2.249173,Parks,,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2488,Bô Zinc,4.0,37,48.8545855,2.2693466,"Brasseries, Bars, Breakfast & Brunch",59 ave Mozart,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2489,Goody's,2.0,4,48.863585493235995,2.26041555404663,"Street Vendors, American (Traditional), Burgers",Chalet des Iles,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2490,N°41,4.0,5,48.8552,2.27006,"Bistros, French",41 avenue Mozart,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2491,Le Bois,4.0,8,48.8576,2.27402,"French, Bistros",29 rue Bois le Vent,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2492,Boulangerie TY-Pascal,5.0,6,48.85824,2.27363,Bakeries,8 Chaussée Muette,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2493,Hana Bento,4.0,6,48.8576088,2.2749,Japanese,21 rue bois Le Vent,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2494,Le Bois le Vent,5.0,2,48.85765,2.27474,Lebanese,59 rue de Boulainvilliers,"48.86218070933143,2.2617871686816216",48.862180709331426,2.2617871686816216,Ceinture du Lac Inferieure - Saint-Cloud,2,40,16129,42,95.23809523809523
2495,Shiawase,4.0,12,48.83324,2.31693,Japanese,97-99 rue Raymond Losserand,"48.83329880233322,2.3173383995890617",48.833298802333225,2.3173383995890617,Boyer-Barret - Raymond Losserand,0,23,14104,23,100.0
2496,L'Ile au Blé Noir,3.5,24,48.8336,2.3174900000000003,Creperies,80 rue Raymond Losserand,"48.83329880233322,2.3173383995890617",48.833298802333225,2.3173383995890617,Boyer-Barret - Raymond Losserand,0,23,14104,23,100.0
2497,Dokkebi,4.5,16,48.8323402,2.3152699,Korean,121 Rue Raymond Losserand,"48.83329880233322,2.3173383995890617",48.833298802333225,2.3173383995890617,Boyer-Barret - Raymond Losserand,0,23,14104,23,100.0
2498,L'Alexandra,4.5,6,48.83301,2.31978,French,6 Rue Pernety,"48.83329880233322,2.3173383995890617",48.833298802333225,2.3173383995890617,Boyer-Barret - Raymond Losserand,0,23,14104,23,100.0
2499,L'Envie,4.5,19,48.8340977,2.3177380000000003,French,57 rue Pernety,"48.83329880233322,2.3173383995890617",48.833298802333225,2.3173383995890617,Boyer-Barret - Raymond Losserand,0,23,14104,23,100.0
2500,Birdie's Café,4.0,4,48.85090698684829,2.4181312392136403,"Cafes, Bars",26 rue de Valmy,"48.84930687084088,2.417949736118317",48.849306870840884,2.417949736118317,Lagny - Joffre,2,28,41604,30,93.33333333333333
2501,GabiCook,4.0,4,48.849091,2.4207109,Sandwiches,63 rue de la Prevoyance,"48.84930687084088,2.417949736118317",48.849306870840884,2.417949736118317,Lagny - Joffre,2,28,41604,30,93.33333333333333
2502,Le Tasco,3.0,3,48.849255,2.4198024,Restaurants,49 Rue Lagny,"48.84930687084088,2.417949736118317",48.849306870840884,2.417949736118317,Lagny - Joffre,2,28,41604,30,93.33333333333333
2503,La Banquette,4.0,6,48.8467329,2.4203137000000003,Creperies,2 rue de la Prévoyance,"48.84930687084088,2.417949736118317",48.849306870840884,2.417949736118317,Lagny - Joffre,2,28,41604,30,93.33333333333333
2504,La Braisière - Jacques Faussat,4.0,31,48.883273,2.306439,French Southwest,54 rue Cardinet,"48.881077914129,2.3095492646098",48.881077914129,2.3095492646097995,Parc Monceau,5,13,17018,18,72.22222222222221
